Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID,,,
9918,iP12PR-GD-128-B -R,128 GB Gold Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9919,iP12PR-GD-128-A -R,128 GB Gold Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9920,iP12PR-GD-128-A+-R,128 GB Gold Premium,TRUE,outofstock,no,,product-variant,8912,,,
9921,iP12PR-GRT-128-C -R,128 GB Graphite Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9922,iP12PR-GRT-128-B -R,128 GB Graphite Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9923,iP12PR-GRT-128-A -R,128 GB Graphite Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9924,iP12PR-GRT-RP-128-A+-R,128 GB Graphite Premium,TRUE,outofstock,no,,product-variant,8912,,,
9925,iP12PR-PCBL-128-C -R,128 GB Pacific Blue Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9926,iP12PR-PCBL-128-B -R,128 GB Pacific Blue Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9927,iP12PR-PCBL-128-A -R,128 GB Pacific Blue Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9928,iP12PR-PCBL-128-A+-R,128 GB Pacific Blue Premium,TRUE,outofstock,no,,product-variant,8912,,,
9929,iP12PR-SL-128-C -R,128 GB Silver Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9930,iP12PR-SL-128-B -R,128 GB Silver Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9931,iP12PR-SL-128-A -R,128 GB Silver Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9932,iP12PR-SL-128-A+-R,128 GB Silver Premium,TRUE,outofstock,no,,product-variant,8912,,,
9933,iP12PR-GD-256-C -R,256 GB Gold Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9934,iP12PR-GD-256-B -R,256 GB Gold Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9935,iP12PR-GD-256-A -R,256 GB Gold Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9936,iP12PR-GD-256-A+-R,256 GB Gold Premium,TRUE,outofstock,no,,product-variant,8912,,,
9937,iP12PR-GRT-256-C -R,256 GB Graphite Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9938,iP12PR-GRT-256-B -R,256 GB Graphite Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9939,iP12PR-GRT-256-A -R,256 GB Graphite Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9940,iP12PR-GRT-256-A+-R,256 GB Graphite Premium,TRUE,outofstock,no,,product-variant,8912,,,
9941,iP12PR-PCBL-256-C -R,256 GB Pacific Blue Bueno,TRUE,outofstock,no,,product-variant,8912,,,
9942,iP12PR-PCBL-256-B -R,256 GB Pacific Blue Muy bueno,TRUE,outofstock,no,,product-variant,8912,,,
9943,iP12PR-PCBL-256-A -R,256 GB Pacific Blue Excelente,TRUE,outofstock,no,,product-variant,8912,,,
9944,iP12PR-PCBL-256-A+-R,256 GB Pacific Blue Premium,TRUE,outofstock,no,,product-variant,8912,,,
