Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
9052.0,iP11PRMX-GD-512-A -R,512 GB Gold Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9053.0,iP11PRMX-GD-512-A+ -R,512 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9054.0,iP11PRMX-MG-512-C -R,512 GB Midnight Green Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9055.0,iP11PRMX-MG-512-B -R,512 GB Midnight Green Muy bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9056.0,iP11PRMX-MG-512-A -R,512 GB Midnight Green Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9057.0,iP11PRMX-MG-512-A+ -R,512 GB Midnight Green Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9058.0,iP11PRMX-SL-512-C -R,512 GB Silver Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9059.0,iP11PRMX-SL-512-B -R,512 GB Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9060.0,iP11PRMX-SL-512-A -R,512 GB Silver Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9061.0,iP11PRMX-SL-512-A+ -R,512 GB Silver Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9062.0,iP11PRMX-SG-512-C -R,512 GB Space gray Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9063.0,iP11PRMX-SG-512-B -R,512 GB Space gray Muy bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9064.0,iP11PRMX-SG-512-A -R,512 GB Space gray Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9065.0,iP11PRMX-SG-512-A+ -R,512 GB Space gray Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9070.0,iP12PRMX-GD-64-C -R,64 GB Gold Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9071.0,iP12PRMX-GD-64-B -R,64 GB Gold Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9072.0,iP12PRMX-GD-64-A -R,64 GB Gold Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9073.0,iP12PRMX-GD-64-A+ -R,64 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9074.0,iP12PRMX-MG-64-C -R,64 GB Midnight Green Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9075.0,iP12PRMX-MG-64-B -R,64 GB Midnight Green Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9076.0,iP12PRMX-MG-64-A -R,64 GB Midnight Green Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9077.0,iP12PRMX-MG-64-A+ -R,64 GB Midnight Green Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9078.0,iP12PRMX-SL-64-C -R,64 GB Silver Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9079.0,iP12PRMX-SL-64-B -R,64 GB Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9080.0,iP12PRMX-SL-64-A -R,64 GB Silver Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9081.0,iP12PRMX-SL-64-A+ -R,64 GB Silver Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9082.0,iP12PRMX-SG-64-C -R,64 GB Space gray Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9083.0,iP12PRMX-SG-64-B -R,64 GB Space gray Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9084.0,iP12PRMX-SG-64-A -R,64 GB Space gray Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9085.0,iP12PRMX-SG-64-A+ -R,64 GB Space gray Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9086.0,iP12PRMX-GD-256-C -R,256 GB Gold Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9087.0,iP12PRMX-GD-256-B -R,256 GB Gold Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9088.0,iP12PRMX-GD-256-A -R,256 GB Gold Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9089.0,iP12PRMX-GD-256-A+ -R,256 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9090.0,iP12PRMX-MG-256-C -R,256 GB Midnight Green Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9091.0,iP12PRMX-MG-256-B -R,256 GB Midnight Green Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9092.0,iP12PRMX-MG-256-A -R,256 GB Midnight Green Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9093.0,iP12PRMX-MG-256-A+ -R,256 GB Midnight Green Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9094.0,iP12PRMX-SL-256-C -R,256 GB Silver Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9095.0,iP12PRMX-SL-256-B -R,256 GB Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9096.0,iP12PRMX-SL-256-A -R,256 GB Silver Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9097.0,iP12PRMX-SL-256-A+ -R,256 GB Silver Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9098.0,iP12PRMX-SG-256-C -R,256 GB Space gray Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9099.0,iP12PRMX-SG-256-B -R,256 GB Space gray Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9100.0,iP12PRMX-SG-256-A -R,256 GB Space gray Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9101.0,iP12PRMX-SG-256-A+ -R,256 GB Space gray Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9102.0,iP12PRMX-GD-512-C -R,512 GB Gold Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9103.0,iP12PRMX-GD-512-B -R,512 GB Gold Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9104.0,iP12PRMX-GD-512-A -R,512 GB Gold Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9105.0,iP12PRMX-GD-512-A+ -R,512 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9106.0,iP12PRMX-MG-512-C -R,512 GB Midnight Green Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9107.0,iP12PRMX-MG-512-B -R,512 GB Midnight Green Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9108.0,iP12PRMX-MG-512-A -R,512 GB Midnight Green Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9109.0,iP12PRMX-MG-512-A+ -R,512 GB Midnight Green Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9110.0,iP12PRMX-SL-512-C -R,512 GB Silver Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9111.0,iP12PRMX-SL-512-B -R,512 GB Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9112.0,iP12PRMX-SL-512-A -R,512 GB Silver Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9113.0,iP12PRMX-SL-512-A+ -R,512 GB Silver Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
9114.0,iP12PRMX-SG-512-C -R,512 GB Space gray Bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9115.0,iP12PRMX-SG-512-B -R,512 GB Space gray Muy bueno,TRUE,outofstock,no,0.0,product-variant,9069.0
9116.0,iP12PRMX-SG-512-A -R,512 GB Space gray Excelente,TRUE,outofstock,no,0.0,product-variant,9069.0
9117.0,iP12PRMX-SG-512-A+ -R,512 GB Space gray Premium,TRUE,outofstock,no,0.0,product-variant,9069.0
